model,label,n,accuracy,mean_confidence,ece
biomistral_A,not enough information,997,0.2888665997993982,0.45233756363571226,0.1634709638363141
biomistral_B,not enough information,1015,0.28866995073891627,0.4830643774840632,0.19439442674514695
llama_base_A,not enough information,458,0.37117903930131,0.34743512965185674,0.02945070821124916
llama_base_A,excluded,461,0.015184381778741865,0.35590286756544465,0.3407184857867027
llama_base_A,included,96,0.5833333333333334,0.37213703089704114,0.21119630243629217
llama_base_B,not enough information,987,0.292806484295846,0.4379383991977243,0.16796968009213425
llama_instruct_A,not enough information,993,0.29003021148036257,0.8060297919784307,0.5159995804980682
llama_instruct_B,not enough information,1012,0.28952569169960474,0.8909322036054765,0.6016529891860813
meditron_A,not enough information,357,0.48739495798319327,0.48870397089910106,0.05025438542793446
meditron_A,not excluded,658,0.7355623100303952,0.454789064801935,0.2807732452284601
meditron_B,not enough information,413,0.46246973365617433,0.5692537234279781,0.10678398977180373
meditron_B,not excluded,602,0.7458471760797342,0.407853499747986,0.33799367633174815
mistral_base_A,included,296,0.4594594594594595,0.40967955913495374,0.1228804065770394
mistral_base_A,not included,46,0.08695652173913043,0.32570652534132416,0.2878033603015153
mistral_base_A,not excluded,479,0.7390396659707724,0.36186032093641407,0.37717934503435835
mistral_base_A,excluded,180,0.016666666666666666,0.35740430272287793,0.34073763605621127
mistral_base_B,not enough information,458,0.4170305676855895,0.39287076916496827,0.10548871215514222
mistral_base_B,included,141,0.6879432624113475,0.4090588202713229,0.2788844421400246
mistral_base_B,not excluded,409,0.7457212713936431,0.397652422303384,0.34821775577470543
mistral_instruct_A,not included,107,0.14018691588785046,0.6724549590427185,0.532268043154868
mistral_instruct_A,included,159,0.7484276729559748,0.8082882516414115,0.0789816846262734
mistral_instruct_A,not enough information,481,0.2681912681912682,0.5814951775351582,0.31441999504075474
mistral_instruct_A,not applicable,90,0.34444444444444444,0.5260097914271884,0.20087005827162005
mistral_instruct_A,excluded,162,0.037037037037037035,0.6514142821600408,0.6143772451230036
mistral_instruct_B,not enough information,225,0.6622222222222223,0.7316307073169285,0.07484202649858264
mistral_instruct_B,included,120,0.7666666666666667,0.8304016468425591,0.09268396124243738
mistral_instruct_B,not excluded,276,0.7934782608695652,0.6039305229981741,0.19563686545344366
mistral_instruct_B,excluded,330,0.02727272727272727,0.8074777632951736,0.7802050360224463
mistral_instruct_B,not applicable,53,0.32075471698113206,0.6589957093292812,0.3382409923481492
