model,criterion_type,n,accuracy,ece,mean_confidence
biomistral_A,inclusion,356,0.4859550561797753,0.09691304135858339,0.4744810562455252
biomistral_A,exclusion,659,0.19271623672230653,0.24532782145081955,0.4380440581731261
biomistral_B,inclusion,356,0.4887640449438202,0.010460946583346042,0.479081460348006
biomistral_B,exclusion,659,0.18057663125948406,0.30463936762129595,0.48521599888078
llama_base_A,inclusion,356,0.5421348314606742,0.1785138011648414,0.36647812904936544
llama_base_A,exclusion,659,0.06069802731411229,0.28597185486003374,0.346669882174146
llama_base_B,inclusion,356,0.4943820224719101,0.07867042377088848,0.45367148845048433
llama_base_B,exclusion,659,0.2078907435508346,0.21969542350501317,0.4275861670558478
llama_instruct_A,inclusion,356,0.4943820224719101,0.3548527746722939,0.8460757231779312
llama_instruct_A,exclusion,659,0.17905918057663125,0.5960651558339143,0.7742092778541612
llama_instruct_B,inclusion,356,0.4887640449438202,0.401256464170606,0.8900205091144262
llama_instruct_B,exclusion,659,0.18512898330804248,0.7098054243237548,0.8892865523311545
meditron_A,inclusion,356,0.4887640449438202,0.04925011014670466,0.48893129557705994
meditron_A,exclusion,659,0.7344461305007587,0.27972840512106373,0.45471772537969496
meditron_B,inclusion,356,0.4887640449438202,0.10861542887901995,0.5973794738228402
meditron_B,exclusion,659,0.7071320182094082,0.30051213665688703,0.4066198815525211
mistral_base_A,inclusion,356,0.42134831460674155,0.12417713016941306,0.3956268345204632
mistral_base_A,exclusion,659,0.5417298937784522,0.18108669466060645,0.36064319911784576
mistral_base_B,inclusion,356,0.6629213483146067,0.25982459048541745,0.4030967578291893
mistral_base_B,exclusion,659,0.5447647951441578,0.15090110115650393,0.3939561110346017
mistral_instruct_A,inclusion,356,0.5758426966292135,0.14599734193153596,0.7218400385607494
mistral_instruct_A,exclusion,659,0.1638846737481032,0.41742788176073464,0.5813125555088379
mistral_instruct_B,inclusion,356,0.6741573033707865,0.09925462615289043,0.773411929523677
mistral_instruct_B,exclusion,659,0.37481031866464337,0.3465289106770604,0.7037067084554838
