model,c_index,kendall_tau,spearman_rho,h3_supportee
biomistral_A,0.507754318013635,0.06167828388766333,0.06279511386562724,False
biomistral_B,0.5,,,False
llama_base_A,0.4133248311369326,-0.15334543612350857,-0.1781515226592169,False
llama_base_B,0.5134539385637586,0.07962705780408065,0.08123352772395286,False
llama_instruct_A,0.5122966951647694,0.05520346288758824,0.056293703988063985,False
llama_instruct_B,0.5,,,False
meditron_A,0.6539527340859351,0.2443472907649964,0.290166760647814,False
meditron_B,0.6244469636137484,0.2224028109685321,0.2618709412879152,False
mistral_base_A,0.5374096641632422,0.05076482273777197,0.06272696614826206,False
mistral_base_B,0.6432383921401917,0.22636690735802356,0.26279809106986657,False
mistral_instruct_A,0.6209201265882576,0.18408805339453135,0.20666648844410695,False
mistral_instruct_B,0.5683797017933336,0.07972557734560731,0.09586831494962045,False
