model,ece_original,ece_temperature,ece_isotonic,ece_platt,temperature,gain_temperature,gain_isotonic,gain_platt
biomistral_A,0.14008756377657902,0.09194946982142989,0.026720103830650564,0.027161268264865875,0.4939698492462312,0.04813809395514913,0.11336745994592845,0.11292629551171315
biomistral_B,0.21102272037599912,0.19750967746276052,0.03398819740729553,0.03702750243228406,0.592462311557789,0.013513042913238599,0.1770345229687036,0.17399521794371506
llama_base_A,0.1883282491418182,0.08399056301258895,0.09078075381860987,0.09558101814879452,0.5432160804020101,0.10433768612922925,0.09754749532320833,0.09274723099302368
llama_base_B,0.16011310434732282,0.08478405206895798,0.026180823748779506,0.008264068773138344,0.2969849246231156,0.07532905227836484,0.1339322805985433,0.15184903557418447
llama_instruct_A,0.531181976541144,0.3028147814841111,0.039702470570145705,0.08008955560359235,5.0,0.22836719505703285,0.49147950597099826,0.45109242093755164
llama_instruct_B,0.6316816447211093,0.35330660031689565,0.04671835471646363,0.05163991130413078,5.0,0.2783750444042137,0.5849632900046458,0.5800417334169785
meditron_A,0.21667088270187376,0.1889393661166575,0.05236125003515037,0.04802622385871358,5.0,0.027731516585216276,0.16430963266672338,0.16864465884316018
meditron_B,0.2199024991910966,0.1452244428580087,0.0027299429888196264,0.046202190303775995,5.0,0.07467805633308791,0.217172556202277,0.17370030888732063
mistral_base_A,0.1624221458786824,0.06958686629415975,0.058090108673971734,0.037703310025870046,2.9562814070351764,0.09283527958452265,0.10433203720471065,0.12471883585281235
mistral_base_B,0.2501800242994653,0.1672147331646254,0.1076558922731719,0.10287515923490297,5.0,0.08296529113483989,0.14252413202629338,0.1473048650645623
mistral_instruct_A,0.34240433554180333,0.2519651880588725,0.06021923742600513,0.07390678388124078,5.0,0.0904391474829308,0.28218509811579817,0.26849755166056255
mistral_instruct_B,0.2813978093569396,0.10395582453599153,0.02695373028650151,0.005627969463833778,5.0,0.17744198482094806,0.2544440790704381,0.27576983989310583
