model,n,accuracy,ece,ece_ci_low,ece_ci_high,brier,mean_confidence,mean_overconfidence,h1_supportee
biomistral_A,1015,0.2955665024630542,0.15525742892561287,0.12646652002713363,0.18172004018144067,0.2336869013015055,0.45082393138866705,0.15525742892561287,True
biomistral_B,1015,0.28866995073891627,0.19439442674514695,0.16646778100523457,0.22175703754639392,0.2441098086251998,0.4830643774840632,0.19439442674514695,True
llama_base_A,1015,0.22955665024630542,0.12406075496978947,0.0995312084000686,0.14848026932386926,0.18744489630390498,0.3536174052160949,0.12406075496978948,True
llama_base_B,1015,0.3083743842364532,0.15056867805020563,0.12286826649249483,0.17741232692387893,0.2245381489083725,0.43673530441199615,0.12836092017554296,True
llama_instruct_A,1015,0.2896551724137931,0.5103545764984169,0.4827266381335963,0.5352837719037908,0.45633238310785135,0.7994156370022026,0.5097604645884096,True
llama_instruct_B,1015,0.2916256157635468,0.601585296427675,0.5747418759014512,0.6275104566138658,0.5577376259159047,0.8895439795378981,0.5979183637743513,True
meditron_A,1015,0.6482758620689655,0.1815581061569928,0.1525486809323574,0.2116182845023466,0.26287693841486265,0.46671775591197273,-0.1815581061569928,True
meditron_B,1015,0.6305418719211823,0.2313214961531127,0.2036259428613585,0.25885585080006435,0.2834146702634403,0.47352669421087934,-0.15701517771030293,True
mistral_base_A,1015,0.4995073891625616,0.13323859522495365,0.1043442105931308,0.16326658171899802,0.25796624668903667,0.37291332148566037,-0.12659406767690123,True
mistral_base_B,1015,0.5862068965517241,0.18904480496650847,0.16095407839625928,0.21826639552862181,0.26851072118323566,0.3971620915852157,-0.18904480496650847,True
mistral_instruct_A,1015,0.3083743842364532,0.3222266283822177,0.2971386801719372,0.35015226639330094,0.3107521810115477,0.630601012618671,0.3222266283822177,True
mistral_instruct_B,1015,0.4798029556650246,0.2529742965557305,0.22915307091227893,0.2870402647364022,0.3527441186986589,0.7281550421503377,0.24835208648531307,True
